"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"FT",574,"2016-05-05","90.47     ","-0.987","6.153","Ketel Marte","606466","502381","Strikeout","Swinging Strike","261.687   ","1162.762  ","16.6      ","7.6       ","14","Ketel Marte strikes out swinging.  ","R ","L","R","HOU","SEA","S",0,0,0,1,2016,"-5.918                ","0.823               ","0.308","1.451               ","null","null","null",0,9,"top","0.0000","0.0000","030147","2016-05-06T03:01:47Z","488771","427113","160505_220025","5.37","-131.265            ","-6.33","-10.41","25.65","-30.65","3.56","1.61","null","null","null","89.22","2300.00","5.58",447292
"SL",575,"2016-05-05","82.95     ","-1.458","6.140","Ketel Marte","606466","502381","Strikeout","Swinging Strike","85.786    ","1232.462  ","-17.9     ","9.6       ","14","Ketel Marte strikes out swinging.  ","R ","L","R","HOU","SEA","S",0,0,0,2,2016,"6.869                 ","-0.556              ","1.210","1.682               ","null","null","null",0,9,"top","0.0000","0.0000","030209","2016-05-06T03:02:09Z","488771","427113","160505_220047","4.24","-120.630            ","-3.78","10.22","21.32","-32.93","3.56","1.61","null","null","null","81.60","2547.00","5.29",447292
"FT",573,"2016-05-05","90.95     ","-0.966","6.098","Ketel Marte","606466","502381","Strikeout","Foul","234.523   ","552.339   ","6.1       ","7.0       ","9 ","Ketel Marte strikes out swinging.  ","R ","L","R","HOU","SEA","S",0,0,0,0,2016,"-2.319                ","1.611               ","0.383","1.659               ","null","null","null",0,9,"top","0.0000","0.0000","030121","2016-05-06T03:01:21Z","488771","427113","160505_215958","4.30","-132.016            ","-5.96","-4.09","28.05","-29.26","3.56","1.61","null","null","null","89.45","2371.00","5.55",447292
"FT",584,"2016-05-05","91.54     ","-0.969","6.107","Norichika Aoki","493114","502381","Walk","Foul","239.336   ","1181.925  ","17.2      ","6.5       ","13","Norichika Aoki walks.  ","R ","L","R","HOU","SEA","S",0,0,0,1,2016,"-5.125                ","2.998               ","-0.169","1.324               ","null","null",547982,1,9,"top","0.0000","0.0000","030407","2016-05-06T03:04:07Z","488771","427113","160505_220246","3.87","-132.739            ","-7.57","-9.30","23.80","-26.66","3.20","1.45","null","null","null","91.07","2560.00","5.89",447292
"FT",586,"2016-05-05","90.21     ","-1.175","6.102","Norichika Aoki","493114","502381","Walk","Ball","250.295   ","1054.428  ","16.2      ","7.3       ","13","Norichika Aoki walks.  ","R ","L","R","HOU","SEA","B",0,0,1,2,2016,"-5.125                ","1.793               ","-1.506","1.304               ","null","null",547982,1,9,"top","0.0000","0.0000","030511","2016-05-06T03:05:11Z","488771","427113","160505_220344","0.87","-131.971            ","-6.94","-9.03","28.32","-28.94","3.20","1.45","null","null","null","89.30","2541.00","5.54",447292
"SL",592,"2016-05-05","82.78     ","-1.445","6.022","Norichika Aoki","493114","502381","Walk","Ball In Dirt","54.527    ","1127.048  ","-11.8     ","10.9      ","14","Norichika Aoki walks.  ","R ","L","R","HOU","SEA","B",0,0,2,2,2016,"5.227                 ","-3.775              ","0.271","0.745               ","null",547982,"null",1,9,"top","0.0000","0.0000","030807","2016-05-06T03:08:07Z","488771","427113","160505_220646","2.47","-120.980            ","-4.63","7.65","26.24","-37.63","3.20","1.45","null","null","null","81.43","2536.00","5.51",447292
"FT",583,"2016-05-05","91.86     ","-1.027","6.151","Norichika Aoki","493114","502381","Walk","Called Strike","240.893   ","1090.907  ","15.5      ","6.6       ","8 ","Norichika Aoki walks.  ","R ","L","R","HOU","SEA","S",0,0,0,0,2016,"-4.819                ","2.643               ","0.199","1.869               ","null","null",547982,1,9,"top","0.0000","0.0000","030343","2016-05-06T03:03:43Z","488771","427113","160505_220221","4.90","-133.306            ","-6.15","-8.76","25.99","-27.30","3.20","1.45","null","null","null","90.70","2574.00","5.61",447292
"FT",585,"2016-05-05","91.33     ","-1.101","6.158","Norichika Aoki","493114","502381","Walk","Ball","279.191   ","696.346   ","10.5      ","7.6       ","13","Norichika Aoki walks.  ","R ","L","R","HOU","SEA","B",0,0,0,2,2016,"-3.465                ","-0.601              ","-1.506","2.322               ","null","null",547982,1,9,"top","0.0000","0.0000","030441","2016-05-06T03:04:41Z","488771","427113","160505_220320","0.12","-133.828            ","-3.92","-6.34","26.38","-33.20","3.20","1.45","null","null","null","91.83","2477.00","6.08",447292
"FF",593,"2016-05-05","90.55     ","-1.161","6.331","Norichika Aoki","493114","502381","Walk","Ball","207.344   ","1175.195  ","11.2      ","5.4       ","11","Norichika Aoki walks.  ","R ","L","R","HOU","SEA","B",0,0,3,2,2016,"-2.766                ","5.307               ","-0.960","3.266               ","null",547982,"null",1,9,"top","0.0000","0.0000","030836","2016-05-06T03:08:36Z","488771","427113","160505_220715","1.47","-132.491            ","-3.70","-4.93","27.58","-22.64","3.20","1.45","null","null","null","90.13","2403.00","5.80",447292
"FT",598,"2016-05-05","90.36     ","-0.873","6.212","Seth Smith","452234","502381","Single","Swinging Strike","251.769   ","801.346   ","11.5      ","7.2       ","8 ","Seth Smith singles on a sharp line drive to right fielder George Springer.   Leonys Martin to 3rd.    Norichika Aoki to 2nd.  ","R ","L","R","HOU","SEA","S",9,3,1,0,2016,"-3.908                ","1.245               ","-0.084","2.187               ","null",547982,493114,1,9,"top","177.6700","120.0400","031007","2016-05-06T03:10:07Z","488771","427113","160505_220845","3.38","-131.655            ","-4.76","-6.91","26.10","-29.90","3.64","1.66","null","null","null","89.57","2391.00","5.64",447292
